Drogas Decomisadas	Unidad de Medida	Cantidad	Mes	Año
Marihuana	Kilogramo	168508135	Octubre a Diciembre	2019
Marihuana Plantas	Unidad	1	Octubre a Diciembre	2019
Crack 	Kilogramo	1311915	Octubre a Diciembre	2019
Extasis	Kilogramo	0.32	Enero a Marzo	2020
Marihuana	Kilogramo	553.42	Enero a Marzo	2020
Crack 	Kilogramo	2.88	Enero a Marzo	2020
Tramadol	Unidad	20	Enero a Marzo	2020
Cocaina	Kilogramo	295.85	Abril a Junio	2020
Marihuana	Kilogramo	972.53	Abril a Junio	2020
Crack 	Kilogramo	0.63	Abril a Junio	2020
Hachis	Kilogramo	0.07	Abril a Junio	2020
Cocaina	Kilogramo	1756.161	Julio a Septiembre	2020
Extasis	Kilogramo	0.12	Julio a Septiembre	2020
Marihuana	Kilogramo	410.37	Julio a Septiembre	2020
Crack 	Kilogramo	0.38	Julio a Septiembre	2020
Hachis	Kilogramo	0.81	Julio a Septiembre	2020
Objetos o Sustancias	Kilogramo	49.42	Julio a Septiembre	2020
Cocaina	Kilogramo	6046.36	Octubre a Diciembre	2020
Extasis	Kilogramo	0.22	Octubre a Diciembre	2020
Marihuana	Unidad	2260	Octubre a Diciembre	2020
Marihuana	Kilogramo	734.59	Octubre a Diciembre	2020
Crack 	Kilogramo	2.67	Octubre a Diciembre	2020
Hachis	Kilogramo	4.36	Octubre a Diciembre	2020
Opio	Kilogramo	3.4	Octubre a Diciembre	2020
Objetos o Sustancias	Kilogramo	48.3	Octubre a Diciembre	2020
Cocaina	Kilogramo	3498.48	Enero a Marzo	2021
Heroina	Kilogramo	8.2	Enero a Marzo	2021
Extasis	Kilogramo	0.18	Enero a Marzo	2021
Marihuana	Kilogramo	943.88	Enero a Marzo	2021
Crack 	Kilogramo	1.65	Enero a Marzo	2021
Hachis	Kilogramo	0.25	Enero a Marzo	2021
Cocaina	Kilogramo	6788.45	Abril a Junio	2021
Extasis	Kilogramo	0.14	Abril a Junio	2021
Marihuana	Kilogramo	2040.93	Abril a Junio	2021
Hachis	Kilogramo	4.24	Abril a Junio	2021
Crack 	Kilogramo	2.12	Abril a Junio	2021
Cocaina	Kilogramo	4005.97	Julio a Septiembre	2021
Extasis	Kilogramo	0.04	Julio a Septiembre	2021
Marihuana	Kilogramo	599.59	Julio a Septiembre	2021
Crack 	Kilogramo	2.99	Julio a Septiembre	2021
Hachis	Kilogramo	1.04	Julio a Septiembre	2021
Cocaina	Kilogramo	4819.43	Octubre a Diciembre	2021
Extasis	Kilogramo	2.39	Octubre a Diciembre	2021
Marihuana	Kilogramo	2139.02	Octubre a Diciembre	2021
Hachis	Kilogramo	19.6	Octubre a Diciembre	2021
Crack 	Kilogramo	7.02	Octubre a Diciembre	2021
Heroina	Kilogramo	0.01	Octubre a Diciembre	2021
Opio	Kilogramo	0.05	Octubre a Diciembre	2021
Cocaina	Kilogramo	5951.84	Enero a Marzo	2022
Extasis	Kilogramo	8	Enero a Marzo	2022
Marihuana	Kilogramo	1146.62	Enero a Marzo	2022
Hachis	Kilogramo	0.42	Enero a Marzo	2022
Crack 	Kilogramo	2.25	Enero a Marzo	2022
Opio	Kilogramo	0.12	Enero a Marzo	2022
Cocaina	Kilogramo	10982.68	Abril a Junio	2022
Extasis	Kilogramo	0.03	Abril a Junio	2022
Marihuana	Kilogramo	655.31	Abril a Junio	2022
Hachis	Kilogramo	0.07	Abril a Junio	2022
Crack 	Kilogramo	1.74	Abril a Junio	2022
Opio	Kilogramo	0.01	Abril a Junio	2022
Cocaina	Kilogramo	6392.24	Julio a Septiembre	2022
Extasis	Kilogramo	2.53	Julio a Septiembre	2022
Marihuana	Kilogramo	459.16	Julio a Septiembre	2022
Crack 	Kilogramo	1.72	Julio a Septiembre	2022
Hachis	Kilogramo	1.08	Julio a Septiembre	2022
Opio	Kilogramo	0.78	Julio a Septiembre	2022
Cocaina	Kilogramo	3700.41	Octubre a Diciembre	2022
Extasis	Kilogramo	0.07	Octubre a Diciembre	2022
Marihuana	Kilogramo	589.88	Octubre a Diciembre	2022
Hachis	Kilogramo	0.17	Octubre a Diciembre	2022
Crack 	Kilogramo	3.64	Octubre a Diciembre	2022
Heroina	Kilogramo	0.002	Octubre a Diciembre	2022
Opio	Kilogramo	0.0001	Octubre a Diciembre	2022
Cocaina	Kilogramo	2821.94	Enero a Marzo	2023
Extasis	Kilogramo	0.02	Enero a Marzo	2023
Marihuana	Kilogramo	841.03	Enero a Marzo	2023
Hachis	Kilogramo	17.32	Enero a Marzo	2023
Crack 	Kilogramo	4.13	Enero a Marzo	2023
Opio	Kilogramo	0.87	Enero a Marzo	2023
Cocaina	Kilogramo	9,401.01	Abril a Junio	2023
Extasis	Kilogramo	0.2	Abril a Junio	2023
Marihuana	Kilogramo	1915.02	Abril a Junio	2023
Hachis	Kilogramo	0.27	Abril a Junio	2023
Crack 	Kilogramo	28.14	Abril a Junio	2023
Opio	Kilogramo	19.64	Abril a Junio	2023
Cocaina	Kilogramo	2063.43	Julio a Septiembre	2023
extasis	Kilogramo	0.12	Julio a Septiembre	2023
Marihuana 	Kilogramo	2971.53	Julio a Septiembre	2023
Hachis	Kilogramo	2.37	Julio a Septiembre	2023
Crack 	Kilogramo	16.79	Julio a Septiembre	2023
Opio	Kilogramo	0.01	Julio a Septiembre	2023
Cocaina	Kilogramo	3618.11	Octubre a Diciembre	2023
Extasis	Kilogramo	0.09	Octubre a Diciembre	2023
Marihuana	Kilogramo	828.06	Octubre a Diciembre	2023
Hachis	Kilogramo	0.06	Octubre a Diciembre	2023
Crack 	Kilogramo	38.4	Octubre a Diciembre	2023
Opio	Kilogramo	6.95	Octubre a Diciembre	2023
Cocaina	Kilogramo	5357.54	Enero a Marzo	2024
extasis	Kilogramo	0.05	Enero a Marzo	2024
Marihuana	Unidad	851.7	Enero a Marzo	2024
Hachis	Kilogramo	0.02	Enero a Marzo	2024
Crack 	Kilogramo	55.59	Enero a Marzo	2024
Opio	Kilogramo	23.01	Enero a Marzo	2024
Cocaina	Kilogramo	3424	Abril a Junio	2024
