Arrestados segun edad sexo y nacionalidad	Cantidad	Mes	Año	
Edad 36 a 40	633	Abril a Junio	2019	
Edad 41 a 45	423	Abril a Junio	2019	
Edad 46 a 50	234	Abril a Junio	2019	
Edad 51 a mas	669	Abril a Junio	2019	
Hombres 	4984	Abril a Junio	2019	
Mujeres	87	Abril a Junio	2019	
Dominicanos	4766	Abril a Junio	2019	
Extranjeros	305	Abril a Junio	2019	
Edad 1 a 17	64	Julio a Septiembre	2019	
Edad 18 a 25	758	Julio a Septiembre	2019	
Edad 26 a 30	471	Julio a Septiembre	2019	
Edad 31 a 35	415	Julio a Septiembre	2019	
Edad 36 a 40	294	Julio a Septiembre	2019	
Edad 41 a 45	212	Julio a Septiembre	2019	
Edad 46 a 50	191	Julio a Septiembre	2019	
Edad 51 a mas	263	Julio a Septiembre	2019	
Hombres 	2625	Julio a Septiembre	2019	
Mujeres	43	Julio a Septiembre	2019	
Dominicanos	2548	Julio a Septiembre	2019	
Extranjeros	120	Julio a Septiembre	2019	
Edad 1 a 17	57	Octubre a Diciembre	2019	
Edad 18 a 25	783	Octubre a Diciembre	2019	
Edad 26 a 30	524	Octubre a Diciembre	2019	
Edad 31 a 35	449	Octubre a Diciembre	2019	
Edad 36 a 40	378	Octubre a Diciembre	2019	
Edad 41 a 45	252	Octubre a Diciembre	2019	
Edad 46 a 50	185	Octubre a Diciembre	2019	
Edad 51 a mas	360	Octubre a Diciembre	2019	
Hombres 	2944	Octubre a Diembre	2019	
Mujeres	44	Octubre a Diembre	2019	
Dominicanos	2802	Octubre a Diciembre	2019	
Extranjeros	186	Octubre a Diciembre	2019	
Edad 1 a 17	38	Enero a Marzo	2020	
Edad 18 a 25	610	Enero a Marzo	2020	
Edad 26 a 30	388	Enero a Marzo	2020	
Edad 31 a 35	366	Enero a Marzo	2020	
Edad 36 a 40	311	Enero a Marzo	2020	
Edad 41 a 45	197	Enero a Marzo	2020	
Edad 46 a 50	155	Enero a Marzo	2020	
Edad 51 a mas	410	Enero a Marzo	2020	
Hombres 	2431	Enero a Marzo	2020	
Mujeres	44	Enero a Marzo	2020	
Dominicanos	2247	Enero a Marzo	2020	
Extranjeros	228	Enero a Marzo	2020	
Edad 1 a 17	29	Abril a Junio	2020	
Edad 18 a 25	427	Abril a Junio	2020	
Edad 26 a 30	282	Abril a Junio	2020	
Edad 31 a 35	222	Abril a Junio	2020	
Edad 36 a 40	176	Abril a Junio	2020	
Edad 41 a 45	113	Abril a Junio	2020	
Edad 46 a 50	86	Abril a Junio	2020	
Edad 51 a mas	198	Abril a Junio	2020	
Hombres 	1514	Abril a Junio	2020	
Mujeres	19	Abril a Junio	2020	
Dominicanos	1468	Abril a Junio	2020	
Extranjeros	65	Abril a Junio	2020	
Edad 1 a 17	36	Julio a Septiembre	2020	
Edad 18 a 25	653	Julio a Septiembre	2020	
Edad 26 a 30	399	Julio a Septiembre	2020	
Edad 31 a 35	340	Julio a Septiembre	2020	
Edad 36 a 40	284	Julio a Septiembre	2020	
Edad 41 a 45	200	Julio a Septiembre	2020	
Edad 46 a 50	112	Julio a Septiembre	2020	
Edad 51 a mas	345	Julio a Septiembre	2020	
Hombres 	2335	Julio a Septiembre	2020	
Mujeres	34	Julio a Septiembre	2020	
Dominicanos	2241	Julio a Septiembre	2020	
Extranjeros	128	Julio a Septiembre	2020	
Edad 1 a 17	35	Octubre a Diciembre	2020	
Edad 18 a 25	712	Octubre a Diciembre	2020	
Edad 26 a 30	456	Octubre a Diciembre	2020	
Edad 31 a 35	377	Octubre a Diciembre	2020	
Edad 36 a 40	327	Octubre a Diciembre	2020	
Edad 41 a 45	227	Octubre a Diciembre	2020	
Edad 46 a 50	161	Octubre a Diciembre	2020	
Edad 51 a mas	1069	Octubre a Diciembre	2020	
Hombres 	3313	Octubre a Diciembre	2020	
Mujeres	51	Octubre a Diciembre	2020	
Dominicanos	3161	Octubre a Diciembre	2020	
Extranjeros	203	Octubre a Diciembre	2020	
Edad 1 a 17	52	Enero a Marzo	2021	
Edad 18 a 25	1058	Enero a Marzo	2021	
Edad 26 a 30	791	Enero a Marzo	2021	
Edad 31 a 35	654	Enero a Marzo	2021	
Edad 36 a 40	483	Enero a Marzo	2021	
Edad 41 a 45	390	Enero a Marzo	2021	
Edad 46 a 50	295	Enero a Marzo	2021	
Edad 51 a mas	888	Enero a Marzo	2021	
Hombres 	4543	Enero a Marzo	2021	
Mujeres	68	Enero a Marzo	2021	
